dispensary_name,license_number,license_expiration,first_name,last_name,email,phone,city,website,status
420 PHARMA STORE LLC,DSP148,07/13/2026,,,,,,,pending
"ALTERNATIVE RELIEF, LLC",DSP175,04/10/2026,,,,,,,pending
AMBER HORIZONS LLC,DSP185,09/20/2026,,,,,,,pending
ATLANTIC FARMS,DSP137,05/25/2026,,,,,,,pending
"BEARDED DELIGHT, LLC",DSP215,02/24/2026,,,,,,,pending
"BERENYI ENTERPRISES, LLC",DSP194,02/12/2026,,,,,,,pending
THE BERENYI GROUP LLC,DSP225,02/26/2026,,,,,,,pending
BITTERSWEET SMOKE COMPANY,DSP178,07/13/2026,,,,,,,pending
BLACK TIE CANNABIS LLC,DSP129,05/08/2026,,,,,,,pending
BLOSSOM CANNABIS,DSP111,12/06/2026,,,,,,,pending
BLUE SKY,DSP235,08/27/2026,,,,,,,pending
"BRIGID CULTIVATION, LLC",DSP150,01/19/2027,,,,,,,pending
CABERSKI INDUSTRIES LLC,DSP159,12/20/2026,,,,,,,pending
CANNABIS CURED DISPENSARY LLC,DSP113,12/08/2026,,,,,,,pending
CANNABIS CURED FAIRFIELD DISPENSARY,DSP149,08/07/2026,,,,,,,pending
CENTER STREET OPERATIONS LLC,DSP162,03/08/2026,,,,,,,pending
THE CHEESE HOUSE INC.,DSP116,07/12/2026,,,,,,,pending
COAST TO COAST SUPPLEMENTS LLC,DSP220,01/11/2027,,,,,,,pending
COASTAL CALYX LLC,DSP238,12/11/2026,,,,,,,pending
COSMIC SOLUTIONS LLC,DSP165,03/07/2026,,,,,,,pending
"CRYSTAL SPRING HEALING ALTERNATIVES, LLC",DSP209,09/18/2026,,,,,,,pending
"D BERENYI, LLC",DSP219,01/28/2026,,,,,,,pending
"E.P.M. CAREGIVING, LLC",DSP180,07/13/2026,,,,,,,pending
EARTH KEEPER,DSP115,08/23/2026,,,,,,,pending
"EAST COAST CURE, LLC",DSP141,02/28/2026,,,,,,,pending
EDEN PLUS BOTANICAL LLC,DSP241,12/16/2026,,,,,,,pending
ELLIPSE CANNABIS COMPANY,DSP221,05/14/2026,,,,,,,pending
F. BERENYI ENTERPRISES LLC,DSP174,05/11/2026,,,,,,,pending
"F.G. BERENYI, LLC",DSP201,05/28/2026,,,,,,,pending
FADED CANNABIS COMPANY,DSP142,07/04/2026,,,,,,,pending
"FELIX GARDEN, LLC",DSP214,02/19/2026,,,,,,,pending
FIRST CLASS CANNABIS,DSP230,05/15/2026,,,,,,,pending
"FISHBOWL FARMS, LLC",DSP189,10/03/2026,,,,,,,pending
FLOWERS FARMACY,DSP198,05/27/2026,,,,,,,pending
"FORD & FORD ENTERPRISES, LLC",DSP205,08/08/2026,,,,,,,pending
THE GOLDEN NUGGET LLC,DSP134,07/06/2026,,,,,,,pending
"GROVE CANNABIS COMPANY, LLC",DSP226,04/10/2026,,,,,,,pending
"HALLOWELL 4 TWENTY, LLC",DSP126,02/10/2026,,,,,,,pending
"HARBOR COASTAL CANNABIS, LLC",DSP169,04/17/2026,,,,,,,pending
HAZY HILL FARM,DSP204,11/03/2026,,,,,,,pending
"HEATHWOOD COMPANY, LLC",DSP203,10/29/2026,,,,,,,pending
HGC LLC,DSP216,01/05/2027,,,,,,,pending
HIGHBROW,DSP154,11/08/2026,,,,,,,pending
HOMEGROWN OF AUGUSTA,DSP121,02/23/2026,,,,,,,pending
"IN & OUT OF THE GARDEN WE GROW, LLC",DSP157,01/02/2027,,,,,,,pending
"INHALE ZEN, LLC",DSP184,10/25/2026,,,,,,,pending
IRIE CULTIVATION LLC,DSP207,09/22/2026,,,,,,,pending
JAR CANNABIS CO.,DSP145,12/18/2026,,,,,,,pending
K BERENYI LLC,DSP202,06/06/2026,,,,,,,pending
KIND FARMS RESERVE MED,DSP114,12/22/2026,,,,,,,pending
LISBON CANNABIS,DSP232,08/14/2026,,,,,,,pending
MAINEGREEN MANAGEMENT LLC,DSP224,11/19/2026,,,,,,,pending
MAINELY STICKY BUDS LLC,DSP218,01/13/2027,,,,,,,pending
MAPLE VALLEY PHARMS LLC,DSP135,09/08/2026,,,,,,,pending
MIGHTY VIKING GUMMIES,DSP179,06/13/2026,,,,,,,pending
